ModCod,Code Rate,Es/N0,Bits/Hz
QPSK 13/45,0.29,-2.03,0.55
QPSK 9/20,0.45,0.22,0.87
QPSK 1/2,0.50,1.00,0.97
QPSK 11/20,0.55,1.45,1.06
QPSK 3/5,0.60,2.23,1.16
QPSK 2/3,0.67,3.10,1.29
QPSK 3/4,0.75,4.03,1.45
QPSK 4/5,0.80,4.68,1.55
8APSK 26/45-L,0.58,5.13,1.67
8PSK 3/5,0.60,5.50,1.74
16APSK 1/2-L,0.50,6.07,1.93
16APSK 8/15-L,0.53,6.65,2.05
16APSK 5/9-L,0.56,6.94,2.14
16APSK 26/45,0.58,7.61,2.23
16APSK 3/5,0.60,7.90,2.31
16APSK 28/45,0.62,8.20,2.40
16APSK 2/3-L,0.67,8.53,2.57
16APSK 25/36,0.69,9.37,2.68
16APSK 13/18,0.72,9.81,2.79
16APSK 3/4,0.75,10.31,2.90
16APSK 7/9,0.78,10.75,3.00
16APSK 4/5,0.80,11.13,3.09
32APSK 2/3-L,0.67,11.35,3.22
32APSK 32/45,0.71,12.00,3.43
32APSK 11/15,0.73,12.42,3.54
32APSK 3/4,0.75,12.98,3.62
32APSK 7/9,0.78,13.30,3.76
32APSK 4/5,0.80,13.89,3.87
64APSK 32/45-L,0.71,14.38,4.11
64APSK 11/15,0.73,15.21,4.24
64APSK 7/9,0.78,15.87,4.50
64ApsK 4/5,0.80,16.27,4.63
64APSK 5/6,0.83,16.95,4.82